Feature Set,Input Dimension,Threshold,Accuracy,Precision,Recall,F1,Predicted Failures,Detected Failures
Original 458,458,0.16000000000000003,0.9067796610169492,0.3333333333333333,0.375,0.35294117647058826,18,6
SAE 8,8,0.060000000000000005,0.6186440677966102,0.07954545454545454,0.4375,0.1346153846153846,88,7
Hybrid 466,466,0.14,0.8516949152542372,0.21212121212121213,0.4375,0.2857142857142857,33,7
