Method,Dimension,Threshold,Accuracy,Precision,Recall,F1,Predicted Failures,Detected Failures
Original 458,458,0.16000000000000003,0.9067796610169492,0.3333333333333333,0.375,0.35294117647058826,18,6
SAE-8,8,0.05,0.6610169491525424,0.07894736842105263,0.375,0.13043478260869565,76,6
Hybrid-8,466,0.12000000000000001,0.8389830508474576,0.19444444444444445,0.4375,0.2692307692307692,36,7
SAE-16,16,0.16000000000000003,0.8516949152542372,0.12,0.1875,0.14634146341463414,25,3
Hybrid-16,474,0.15000000000000002,0.8813559322033898,0.2,0.25,0.2222222222222222,20,4
SAE-32,32,0.17000000000000004,0.7966101694915254,0.1,0.25,0.14285714285714285,40,4
Hybrid-32,490,0.14,0.864406779661017,0.21428571428571427,0.375,0.2727272727272727,28,6
