Method,Accuracy,Precision,Recall,F1,PredictedFailures,DetectedFailures
Bagging,0.75,0.13559322033898305,0.5,0.21333333333333335,59,8
GaussianNB,0.06779661016949153,0.06779661016949153,1.0,0.12698412698412698,236,16
Majority Voting,0.7288135593220338,0.13636363636363635,0.5625,0.21951219512195122,66,9
Original CSWE,0.9279661016949152,0.4,0.125,0.19047619047619047,5,2
Calibrated Confidence-Aware CSWE,0.9322033898305084,0.0,0.0,0.0,0,0
