Classifier,Threshold,Accuracy,Precision,Recall,F1,PredictedFailures,DetectedFailures
SVM,0.50,0.9322033898305084,0.0,0.0,0.0,0,0
SVM,0.10,0.8686440677966102,0.14285714285714285,0.1875,0.16216216216216217,21,3
KNN,0.50,0.9322033898305084,0.0,0.0,0.0,0,0
KNN,0.15,0.8983050847457628,0.21428571428571427,0.1875,0.2,14,3
GaussianNB,0.50,0.1864406779661017,0.06862745098039216,0.875,0.12727272727272726,204,14
GaussianNB,0.17,0.1864406779661017,0.06862745098039216,0.875,0.12727272727272726,204,14
Bagging,0.50,0.9322033898305084,0.0,0.0,0.0,0,0
Bagging,0.14,0.8516949152542372,0.21212121212121213,0.4375,0.2857142857142857,33,7
